tick,population,average_speed
135,35,0.1345820654672593
136,35,0.131426043479819
137,37,0.1358244551126034
138,39,0.13834369885910514
139,41,0.1389914373306975
140,43,0.14475771534514087
141,44,0.14266237477598367
142,45,0.14223908507618388
143,46,0.14220548988490841
144,47,0.14165454221975732
145,47,0.14396913443546355
146,47,0.14396913443546355
147,49,0.1426076480798855
148,50,0.14401823483279994
149,51,0.14841336282002207
150,48,0.14692440050536046
151,48,0.14932258000842885
152,48,0.14932258000842885
153,49,0.15297493535145093
154,47,0.14883193149461135
155,47,0.1475664596836003
156,49,0.15316726394355898
157,49,0.1570447572904674
158,49,0.1570447572904674
159,49,0.1570447572904674
160,49,0.1570447572904674
161,52,0.16427446974152665
162,52,0.16427446974152665
163,52,0.16427446974152665
164,52,0.169338535141734
165,51,0.16957537266058878
166,51,0.17448744104729944
167,51,0.17448744104729944
168,51,0.17369049197796377
169,49,0.16924486338205968
170,50,0.1697500900100996
171,49,0.1757868755984328
172,48,0.17268419613819233
173,49,0.17976824502917335
174,49,0.17976824502917335
175,49,0.17976824502917335
176,48,0.18348025286370176
177,44,0.17262770688214646
178,43,0.17427453569928936
179,40,0.16964745348204918
180,40,0.18019472360127017
181,40,0.19289812603885625
182,40,0.18420337385287472
183,40,0.18420337385287472
184,39,0.19114696479517176
185,40,0.20280092369921113
186,40,0.20280092369921113
187,39,0.2058101592355237
188,38,0.2032854499276619
189,38,0.1957156458951548
190,38,0.1834123299507388
191,37,0.18311249576605457
192,38,0.182429950009224
193,38,0.18876492551230284
194,38,0.1725120909005708
195,38,0.1725120909005708
196,40,0.18303267018746994
197,41,0.182984022249429
198,40,0.17112598978174604
199,43,0.17859264900882474
200,43,0.17859264900882474
201,43,0.1904210259684522
202,43,0.1902445490238011
203,42,0.19046739502908605
204,43,0.2021167954555688
205,42,0.19623840968210282
206,42,0.19623840968210282
207,42,0.19623840968210282
208,41,0.18874238320874423
209,40,0.1761761524547667
210,38,0.16775499364702262
211,39,0.16692188797778276
212,38,0.15609309545909683
213,38,0.15609309545909683
214,36,0.1528249448103583
215,35,0.15123311570846126
216,32,0.12070615825114964
217,31,0.11952971958162245
218,31,0.11952971958162245
219,31,0.11952971958162245
220,31,0.13905881847703772
221,30,0.13765950893534595
222,29,0.13781458234188537
223,29,0.13781458234188537
224,29,0.13781458234188537
225,29,0.13781458234188537
226,28,0.1192377889948063
227,28,0.1192377889948063
228,28,0.1192377889948063
229,27,0.11928322803383391
230,25,0.1200864375241268
231,25,0.1200864375241268
232,26,0.12561788179933508
233,26,0.12561788179933508
234,25,0.12351548211508008
235,25,0.12351548211508008
236,25,0.10984070113899783
237,25,0.10984070113899783
238,26,0.10988773147035168
239,26,0.10988773147035168
240,27,0.11011752815310911
241,28,0.10816341852749159
242,28,0.10816341852749159
243,30,0.10327181463101857
244,31,0.1177914232628183
245,31,0.1177914232628183
246,31,0.1177914232628183
247,32,0.11744467966020158
248,32,0.11744467966020158
249,32,0.11744467966020158
250,32,0.11744467966020158
251,30,0.0984681647275364
252,31,0.10171194328544482
253,31,0.10171194328544482
254,31,0.10171194328544482
255,32,0.10543002619039225
256,33,0.12258981873390334
257,33,0.12258981873390334
258,33,0.12258981873390334
259,33,0.12258981873390334
260,33,0.12258981873390334
261,33,0.11812372077268378
262,33,0.11812372077268378
263,33,0.11812372077268378
264,32,0.1015887738105658
265,32,0.1015887738105658
266,33,0.11812506292172788
